threshold,match count,matched number,True Positive,False Positive
0.5,117,"[[2, 2], [2, 2], [2, 2], [2, 12], [2, 15], [2, 32], [2, 32], [2, 32], [2, 43], [2, 43], [2, 43], [7, 7], [7, 7], [7, 7], [7, 12], [7, 32], [7, 32], [7, 32], [7, 38], [7, 38], [7, 38], [12, 12], [12, 12], [12, 12], [12, 15], [12, 15], [12, 22], [12, 22], [12, 22], [12, 32], [12, 32], [12, 32], [12, 38], [12, 38], [12, 38], [12, 43], [12, 43], [12, 43], [15, 12], [15, 15], [15, 15], [15, 15], [15, 22], [15, 38], [15, 43], [15, 43], [15, 50], [22, 12], [22, 12], [22, 12], [22, 22], [22, 22], [22, 22], [22, 38], [22, 38], [22, 38], [22, 43], [22, 50], [25, 12], [25, 12], [25, 25], [25, 25], [25, 25], [32, 2], [32, 2], [32, 2], [32, 7], [32, 7], [32, 7], [32, 32], [32, 32], [32, 32], [32, 38], [32, 38], [32, 38], [32, 43], [32, 43], [32, 43], [38, 2], [38, 7], [38, 7], [38, 7], [38, 12], [38, 12], [38, 12], [38, 15], [38, 32], [38, 32], [38, 32], [38, 38], [38, 38], [38, 38], [38, 43], [38, 43], [38, 43], [43, 2], [43, 2], [43, 2], [43, 12], [43, 12], [43, 12], [43, 15], [43, 15], [43, 15], [43, 22], [43, 32], [43, 32], [43, 38], [43, 38], [43, 38], [43, 43], [43, 43], [43, 43], [50, 15], [50, 50], [50, 50], [50, 50]]",30,87
0.55,89,"[[2, 2], [2, 2], [2, 2], [2, 32], [2, 32], [2, 32], [2, 43], [2, 43], [7, 7], [7, 7], [7, 7], [7, 32], [7, 32], [7, 32], [7, 38], [7, 38], [7, 38], [12, 12], [12, 12], [12, 12], [12, 22], [12, 22], [12, 22], [12, 32], [12, 32], [12, 32], [12, 38], [12, 38], [12, 38], [15, 15], [15, 15], [15, 15], [22, 12], [22, 12], [22, 12], [22, 22], [22, 22], [22, 22], [22, 38], [22, 38], [22, 38], [22, 50], [25, 25], [25, 25], [25, 25], [32, 2], [32, 2], [32, 2], [32, 7], [32, 7], [32, 7], [32, 32], [32, 32], [32, 32], [32, 38], [32, 38], [32, 38], [32, 43], [32, 43], [32, 43], [38, 7], [38, 7], [38, 7], [38, 12], [38, 12], [38, 12], [38, 32], [38, 32], [38, 38], [38, 38], [38, 38], [38, 43], [38, 43], [38, 43], [43, 2], [43, 2], [43, 2], [43, 15], [43, 15], [43, 15], [43, 38], [43, 38], [43, 38], [43, 43], [43, 43], [43, 43], [50, 50], [50, 50], [50, 50]]",30,59
0.6,58,"[[2, 2], [2, 2], [2, 2], [2, 32], [2, 32], [2, 43], [7, 7], [7, 7], [7, 7], [7, 32], [7, 38], [7, 38], [12, 12], [12, 12], [12, 12], [12, 22], [12, 22], [12, 22], [12, 32], [12, 32], [15, 15], [15, 15], [15, 15], [22, 12], [22, 12], [22, 12], [22, 22], [22, 22], [22, 22], [25, 25], [25, 25], [25, 25], [32, 2], [32, 2], [32, 32], [32, 32], [32, 32], [32, 38], [32, 38], [32, 38], [32, 43], [38, 7], [38, 7], [38, 7], [38, 38], [38, 38], [38, 38], [43, 2], [43, 2], [43, 2], [43, 15], [43, 38], [43, 43], [43, 43], [43, 43], [50, 50], [50, 50], [50, 50]]",30,28
0.65,42,"[[2, 2], [2, 2], [2, 2], [7, 7], [7, 7], [7, 7], [12, 12], [12, 12], [12, 12], [12, 22], [12, 22], [12, 22], [15, 15], [15, 15], [15, 15], [22, 12], [22, 12], [22, 12], [22, 22], [22, 22], [22, 22], [25, 25], [25, 25], [25, 25], [32, 32], [32, 32], [32, 32], [32, 38], [32, 38], [38, 7], [38, 38], [38, 38], [38, 38], [43, 2], [43, 2], [43, 2], [43, 43], [43, 43], [43, 43], [50, 50], [50, 50], [50, 50]]",30,12
0.7,36,"[[2, 2], [2, 2], [2, 2], [7, 7], [7, 7], [7, 7], [12, 12], [12, 12], [12, 12], [12, 22], [12, 22], [12, 22], [15, 15], [15, 15], [15, 15], [22, 12], [22, 12], [22, 12], [22, 22], [22, 22], [22, 22], [25, 25], [25, 25], [25, 25], [32, 32], [32, 32], [32, 32], [38, 38], [38, 38], [38, 38], [43, 43], [43, 43], [43, 43], [50, 50], [50, 50], [50, 50]]",30,6
0.75,35,"[[2, 2], [2, 2], [2, 2], [7, 7], [7, 7], [7, 7], [12, 12], [12, 12], [12, 12], [12, 22], [12, 22], [15, 15], [15, 15], [15, 15], [22, 12], [22, 12], [22, 12], [22, 22], [22, 22], [22, 22], [25, 25], [25, 25], [25, 25], [32, 32], [32, 32], [32, 32], [38, 38], [38, 38], [38, 38], [43, 43], [43, 43], [43, 43], [50, 50], [50, 50], [50, 50]]",30,5
0.8,31,"[[2, 2], [2, 2], [2, 2], [7, 7], [7, 7], [7, 7], [12, 12], [12, 12], [12, 12], [15, 15], [15, 15], [15, 15], [22, 12], [22, 22], [22, 22], [22, 22], [25, 25], [25, 25], [25, 25], [32, 32], [32, 32], [32, 32], [38, 38], [38, 38], [38, 38], [43, 43], [43, 43], [43, 43], [50, 50], [50, 50], [50, 50]]",30,1
0.85,30,"[[2, 2], [2, 2], [2, 2], [7, 7], [7, 7], [7, 7], [12, 12], [12, 12], [12, 12], [15, 15], [15, 15], [15, 15], [22, 22], [22, 22], [22, 22], [25, 25], [25, 25], [25, 25], [32, 32], [32, 32], [32, 32], [38, 38], [38, 38], [38, 38], [43, 43], [43, 43], [43, 43], [50, 50], [50, 50], [50, 50]]",30,0
0.9,25,"[[2, 2], [2, 2], [2, 2], [7, 7], [7, 7], [12, 12], [12, 12], [12, 12], [15, 15], [15, 15], [22, 22], [22, 22], [22, 22], [25, 25], [25, 25], [25, 25], [32, 32], [38, 38], [38, 38], [38, 38], [43, 43], [43, 43], [43, 43], [50, 50], [50, 50]]",25,0
0.95,13,"[[2, 2], [2, 2], [12, 12], [12, 12], [15, 15], [22, 22], [22, 22], [25, 25], [32, 32], [38, 38], [43, 43], [43, 43], [50, 50]]",13,0
1.0,0,[],0,0
